date,State,cases,deaths,population,new_cases,new_deaths,cases_per_100k,deaths_per_100k,new_cases_per_100k,iso_3166_2_code,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,overall_pct_change,AREA_SQMI,White,IncomePerCap,Poverty,ChildPoverty,Service,Production,dem_gop_diff_16,FBFilterBubble
2020-04-02,FL,8999,144,21477737,934.4285714285714,16.285714285714285,41.89920008797947,0.6704616971517996,4.350684485188414,US-FL,,-39.0,-11.0,-42.0,-55.0,-46.0,19.0,-31.16666666666666,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-03,FL,10258,170,21477737,1008.5714285714286,17.714285714285715,47.761083954049724,0.7915172813597634,4.695892442352881,US-FL,,-47.0,-19.0,-49.0,-59.0,-48.0,22.0,-31.71428571428571,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-04,FL,11534,195,21477737,1070.857142857143,19.857142857142858,53.70211954825594,0.9079168815597286,4.985893731993938,US-FL,,-53.0,-25.0,-57.0,-64.0,-40.0,16.0,-32.238095238095234,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-05,FL,12346,221,21477737,1057.0,23.142857142857142,57.482778562750816,1.0289724657676924,4.921375096454529,US-FL,,-57.0,-33.0,-70.0,-70.0,-45.0,15.0,-33.3095238095238,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-06,FL,13624,254,21477737,1131.7142857142858,26.142857142857142,63.433126124973036,1.1826199380316464,5.269243615909282,US-FL,,-47.0,-25.0,-50.0,-59.0,-48.0,19.0,-33.857142857142854,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-07,FL,14745,296,21477737,1143.7142857142858,30.142857142857142,68.65248419793947,1.378171266367588,5.325115424005266,US-FL,,-46.0,-23.0,-46.0,-56.0,-49.0,20.0,-34.19047619047619,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-08,FL,15696,323,21477737,1162.857142857143,32.285714285714285,73.08032498954616,1.5038828345835504,5.41424426072981,US-FL,,-46.0,-23.0,-45.0,-57.0,-49.0,20.0,-34.92857142857142,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-09,FL,16824,370,21477737,1117.857142857143,32.285714285714285,78.33227495056857,1.722714082959485,5.204724980369872,US-FL,,-46.0,-21.0,-46.0,-58.0,-50.0,21.0,-35.547619047619044,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-10,FL,17966,419,21477737,1101.142857142857,35.57142857142857,83.64940868770299,1.9508572993514168,5.126903533379039,US-FL,,-47.0,-20.0,-48.0,-61.0,-53.0,23.0,-35.69047619047618,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-11,FL,18981,446,21477737,1063.857142857143,35.857142857142854,88.37523245582157,2.0765688675673792,4.953301843937948,US-FL,,-49.0,-20.0,-54.0,-65.0,-40.0,15.0,-35.45238095238094,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-12,FL,19856,461,21477737,1072.857142857143,34.285714285714285,92.44921846282035,2.146408627687358,4.995205700009935,US-FL,,-66.0,-49.0,-63.0,-69.0,-50.0,15.0,-35.97619047619047,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-13,FL,21017,461,21477737,1056.142857142857,29.571428571428573,97.85481589610674,2.146408627687358,4.917384253019102,US-FL,,-47.0,-24.0,-53.0,-59.0,-47.0,19.0,-35.99999999999999,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-14,FL,21622,571,21477737,982.4285714285714,39.285714285714285,100.6716862209459,2.6585668685672053,4.574171717572347,US-FL,,-46.0,-23.0,-52.0,-56.0,-48.0,20.0,-36.11904761904761,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-15,FL,22515,614,21477737,974.1428571428571,41.57142857142857,104.82947994008866,2.8587741809111455,4.535593564363215,US-FL,,-42.0,-21.0,-53.0,-56.0,-47.0,20.0,-36.09523809523809,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-16,FL,23337,668,21477737,930.4285714285714,42.57142857142857,108.65669879466351,3.1101973173430704,4.332060549156419,US-FL,,-44.0,-22.0,-56.0,-57.0,-48.0,21.0,-36.23809523809523,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-17,FL,24744,726,21477737,968.2857142857143,43.857142857142854,115.20766829391756,3.3802443898069896,4.508322800887795,US-FL,,-44.0,-21.0,-47.0,-58.0,-47.0,21.0,-35.999999999999986,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-18,FL,25488,750,21477737,929.5714285714286,43.42857142857143,118.67172039586852,3.491988005998956,4.328069705720991,US-FL,,-49.0,-25.0,-60.0,-62.0,-38.0,15.0,-36.142857142857125,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-19,FL,26309,774,21477737,921.8571428571429,44.714285714285715,122.49428326643537,3.6037316221909226,4.292152114802145,US-FL,,-48.0,-23.0,-52.0,-64.0,-40.0,13.0,-34.52380952380951,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-20,FL,27053,823,21477737,862.2857142857143,51.714285714285715,125.95833536838634,3.8318748385828543,4.014788496039943,US-FL,,-44.0,-25.0,-54.0,-58.0,-46.0,19.0,-34.45238095238094,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-21,FL,27864,867,21477737,891.7142857142857,42.285714285714285,129.7343383988732,4.036738134934793,4.1518074539896155,US-FL,,-41.0,-20.0,-43.0,-53.0,-46.0,19.0,-33.95238095238094,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-22,FL,28576,927,21477737,865.8571428571429,44.714285714285715,133.04939901256822,4.3160971754147095,4.0314170103542235,US-FL,,-41.0,-20.0,-40.0,-54.0,-46.0,19.0,-33.547619047619044,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-23,FL,29647,987,21477737,901.4285714285714,45.57142857142857,138.03595788513474,4.595456215894626,4.19703701292446,US-FL,,-43.0,-21.0,-47.0,-55.0,-47.0,20.0,-33.23809523809523,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-24,FL,30533,1045,21477737,827.0,45.57142857142857,142.1611597162215,4.865503288358545,3.8504987746148487,US-FL,,-47.0,-25.0,-60.0,-60.0,-47.0,23.0,-33.71428571428571,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
